ID,A,B,C,D,E
800015,.,.,1,1,1
800033,.,.,.,0,0
800042,1,1,1,1,1
800045,1,.,.,.,.
800057,1,1,1,1,1
800076,0,0,1,.,.
800119,0,0,0,.,0
800125,.,1,1,.,.
800131,.,.,1,1,1
800134,1,.,1,.,.
800155,1,.,.,.,.
800158,1,.,.,1,1
800170,1,1,1,1,1
800186,1,1,1,1,1
800198,.,.,.,.,1
800201,1,1,1,1,1
800204,1,0,1,1,1
800228,.,.,1,1,1
800231,1,.,.,.,.
800244,.,0,0,0,0
800250,.,.,1,1,.
800256,1,1,1,1,1
800259,1,.,.,.,.
800268,.,.,1,1,.
800289,.,.,0,1,1
800326,1,1,.,.,.
800354,1,.,.,.,.
800360,1,1,1,1,1
800369,1,.,.,.,.
800372,.,.,.,1,1
800375,1,1,1,1,1
800387,1,1,1,1,1
800393,1,1,1,1,1
800399,1,1,1,.,.
800402,.,.,1,1,0
800408,.,1,1,1,0
800424,1,1,1,1,1
800430,.,.,.,1,1
800442,0,.,.,.,.
800445,.,.,.,.,1
800485,.,.,1,1,.
800497,1,1,1,1,1
800500,1,1,1,1,1
800503,1,1,1,1,1
800509,1,.,1,.,1
800534,.,.,.,.,0
800537,.,1,.,.,.
800540,1,.,.,0,1
800546,0,.,0,.,.
800552,1,.,1,1,1
800561,.,0,0,1,1
800576,.,.,.,1,1
800585,1,.,.,.,.
800601,1,1,1,1,1
800607,1,1,1,1,1
800616,.,.,1,1,.
800637,1,1,1,1,.
800640,.,.,1,1,.
800643,.,.,1,1,1
800659,1,1,1,1,1
800671,1,1,1,1,1
800674,1,1,1,1,1
800695,1,1,1,1,1
800750,1,1,1,1,1
800756,.,.,0,.,.
800759,1,1,1,.,.
800762,1,1,1,1,1
800775,.,.,.,.,1
800778,.,.,.,.,1
800790,1,1,1,1,1
800796,.,0,0,.,.
800799,1,.,.,.,.
800830,1,.,.,.,.
800839,.,.,.,.,1
800848,.,.,1,0,0
800851,.,.,.,.,1
800857,1,.,.,.,.
800860,1,.,.,.,.
800869,1,1,1,1,1
800881,.,1,1,1,1
800894,0,0,1,0,0
800897,1,.,.,.,.
800903,1,1,1,1,1
800909,1,1,1,1,1
800918,1,1,1,1,1
800958,1,1,.,.,.
800961,.,.,.,.,1
800994,1,1,0,1,1
801004,1,.,1,.,.
801022,1,1,1,1,.
801031,.,0,.,0,0
801037,.,.,.,.,1
801055,1,1,1,1,1
801065,1,1,.,.,.
801068,1,1,1,1,1
801083,1,1,1,1,1
801101,1,.,.,.,.
801119,1,.,.,.,.
801138,1,.,1,.,.
801141,1,1,1,1,1
801144,1,1,1,1,1
801156,1,1,1,1,1
801165,.,.,.,.,1
801171,.,.,1,.,.
801174,1,1,1,1,1
801177,1,.,.,.,.
801190,.,.,.,.,1
801208,.,.,1,.,.
801223,1,.,.,.,.
801229,1,.,.,1,1
801232,0,.,.,.,.
801257,.,.,.,.,0
801260,1,.,.,.,.
801266,.,.,.,1,.
801269,.,1,0,1,1
801287,1,1,1,1,1
801296,1,.,.,.,.
801300,1,.,1,1,1
801303,0,1,1,.,.
801306,.,.,0,.,1
801327,.,.,1,1,1
801330,.,.,.,.,1
801333,1,.,.,.,.
801336,1,.,0,.,.
801339,1,.,.,.,.
801348,1,.,.,.,.
801370,1,1,1,1,1
801373,1,1,1,1,1
801391,.,1,.,1,1
801406,.,.,.,.,1
801412,1,1,0,1,.
801428,1,1,1,1,.
801449,.,.,.,.,1
801467,.,.,.,.,1
801470,1,1,1,1,1
801480,.,.,.,1,1
801483,1,1,.,.,.
801486,.,.,.,1,1
801498,1,1,1,1,1
